Pair,Strategy,Factor,Condition,Trades,WinRate%,Exp(R),PF,95%_CI_Lower,95%_CI_Upper,P(Exp>0)%,Stability_2023_2025%,MaxDD%
GBPUSD,MS_BOS,volatility_transition,STEADY_VOL,805,31.8,-0.309,0.61,-0.395,-0.22,0.0,0.0,92.37
USDJPY,MS_BOS,volatility_transition,COMPRESSION_TO_EXPANSION,177,31.07,-0.312,0.6,-0.487,-0.131,0.1,0.0,45.72
GBPUSD,MS_BOS,trend_transition,TREND_TO_RANGE,126,33.33,-0.315,0.71,-0.54,-0.08,0.5,33.3,39.87
USDJPY,MS_BOS,asian_range_category,NORMAL (25-45p),528,30.11,-0.316,0.71,-0.429,-0.206,0.0,0.0,83.25
GBPUSD,VE_BO,trend_transition,STEADY_TREND,545,30.83,-0.318,0.67,-0.438,-0.191,0.0,0.0,84.75
GBPUSD,LDN_MO,trend_transition,RANGE_TO_TREND,53,32.08,-0.319,0.62,-0.674,0.044,4.2,33.3,21.45
USDJPY,MR_RG,volatility_transition,LOW_TO_LOW_VOL,59,32.2,-0.319,0.76,-0.692,0.068,5.5,33.3,22.85
EURUSD,TF_PB,asian_range_category,TIGHT (<25p),413,31.48,-0.321,0.7,-0.46,-0.183,0.0,0.0,74.97
EURUSD,TF_PB,trend_transition,WEAK_TO_STRONG_TREND,129,30.23,-0.322,0.69,-0.557,-0.072,0.5,33.3,36.67
GBPUSD,LDN_MO,trend_transition,STEADY_TREND,665,30.98,-0.326,0.59,-0.422,-0.224,0.0,0.0,89.53
GBPUSD,LDN_MO,volatility_transition,STEADY_VOL,121,30.58,-0.347,0.54,-0.572,-0.11,0.3,0.0,35.38
USDJPY,TF_PB,trend_transition,RANGE_TO_TREND,38,26.32,-0.348,0.39,-0.741,0.087,5.8,0.0,13.31
EURUSD,VE_BO,trend_transition,TREND_TO_RANGE,98,28.57,-0.348,0.6,-0.617,-0.064,0.9,0.0,30.63
EURUSD,LDN_MO,pre_session_bias,FLAT,585,29.06,-0.348,0.57,-0.45,-0.243,0.0,0.0,87.45
GBPUSD,MS_BOS,trend_transition,WEAK_TO_STRONG_TREND,422,31.52,-0.35,0.57,-0.472,-0.223,0.0,0.0,78.55
USDJPY,MR_RG,asian_range_category,NORMAL (25-45p),34,32.35,-0.352,0.49,-0.815,0.148,8.2,0.0,15.76
GBPUSD,TF_PB,trend_transition,STEADY_TREND,496,31.65,-0.353,0.69,-0.472,-0.23,0.0,0.0,84.29
GBPUSD,MS_BOS,asian_range_category,EXPANDED (>45p),256,29.69,-0.356,0.52,-0.512,-0.199,0.0,0.0,62.76
EURUSD,VE_BO,trend_transition,WEAK_TO_STRONG_TREND,36,27.78,-0.364,0.5,-0.809,0.096,5.5,0.0,14.4
EURUSD,VE_BO,volatility_transition,STEADY_VOL,133,27.82,-0.369,0.64,-0.61,-0.123,0.2,0.0,44.4
EURUSD,MS_BOS,volatility_transition,LOW_TO_LOW_VOL,742,31.54,-0.369,0.65,-0.469,-0.27,0.0,0.0,93.91
USDJPY,VE_BO,pre_session_bias,FLAT,75,26.67,-0.373,0.56,-0.686,-0.053,1.2,0.0,29.85
GBPUSD,TF_PB,volatility_transition,LOW_TO_LOW_VOL,347,33.14,-0.374,0.63,-0.521,-0.226,0.0,0.0,75.1
EURUSD,TF_PB,asian_range_category,NORMAL (25-45p),211,27.96,-0.376,0.64,-0.556,-0.19,0.0,0.0,59.23
GBPUSD,TF_PB,pre_session_bias,FLAT,535,31.21,-0.383,0.6,-0.499,-0.261,0.0,0.0,88.1
GBPUSD,LDN_MO,pre_session_bias,FLAT,486,28.81,-0.414,0.52,-0.524,-0.3,0.0,0.0,87.27
EURUSD,TF_PB,trend_transition,STEADY_TREND,489,27.61,-0.415,0.6,-0.535,-0.299,0.0,0.0,87.32
USDJPY,MR_RG,asian_range_category,EXPANDED (>45p),65,26.15,-0.423,0.5,-0.731,-0.084,0.6,0.0,25.32
GBPUSD,MS_BOS,volatility_transition,LOW_TO_LOW_VOL,752,30.85,-0.428,0.55,-0.525,-0.332,0.0,0.0,96.26
EURUSD,MS_BOS,volatility_transition,EXPANSION_TO_CONTRACTION,36,27.78,-0.438,0.37,-0.756,-0.094,0.7,0.0,15.33
EURUSD,TF_PB,pre_session_bias,FLAT,574,27.18,-0.44,0.57,-0.546,-0.33,0.0,0.0,92.39
EURUSD,TF_PB,asian_range_category,EXPANDED (>45p),55,23.64,-0.446,0.56,-0.759,-0.098,0.7,0.0,21.19
GBPUSD,VE_BO,asian_range_category,TIGHT (<25p),318,27.67,-0.448,0.57,-0.603,-0.283,0.0,0.0,77.27
GBPUSD,VE_BO,volatility_transition,STEADY_VOL,143,25.17,-0.472,0.54,-0.688,-0.242,0.0,0.0,51.28
EURUSD,MS_BOS,pre_session_bias,FLAT,885,27.8,-0.477,0.5,-0.562,-0.392,0.0,0.0,98.64
GBPUSD,MR_RG,volatility_transition,LOW_TO_LOW_VOL,84,38.1,-0.478,0.51,-0.77,-0.159,0.0,0.0,34.62
GBPUSD,MR_RG,asian_range_category,TIGHT (<25p),46,36.96,-0.485,0.44,-0.888,-0.054,1.4,0.0,23.54
EURUSD,TF_PB,volatility_transition,LOW_TO_LOW_VOL,330,26.36,-0.508,0.54,-0.645,-0.365,0.0,0.0,83.04
USDJPY,MS_BOS,pre_session_bias,FLAT,329,25.53,-0.513,0.43,-0.645,-0.377,0.0,0.0,82.21
EURUSD,VE_BO,volatility_transition,LOW_TO_LOW_VOL,117,24.79,-0.517,0.5,-0.762,-0.261,0.0,0.0,47.3
USDJPY,MR_RG,pre_session_bias,BULLISH_DRIFT,58,22.41,-0.521,0.44,-0.857,-0.138,0.4,0.0,27.23
EURUSD,MR_RG,trend_transition,TREND_TO_RANGE,38,31.58,-0.524,0.87,-0.99,-0.032,1.9,0.0,19.83
GBPUSD,MR_RG,asian_range_category,NORMAL (25-45p),55,32.73,-0.547,0.47,-0.907,-0.175,0.3,0.0,27.82
GBPUSD,VE_BO,volatility_transition,LOW_TO_LOW_VOL,97,24.74,-0.565,0.44,-0.827,-0.28,0.0,0.0,43.61
USDJPY,MS_BOS,volatility_transition,EXPANSION_TO_CONTRACTION,30,23.33,-0.571,0.31,-0.92,-0.167,0.4,0.0,17.92
GBPUSD,MS_BOS,pre_session_bias,FLAT,632,25.16,-0.572,0.42,-0.67,-0.471,0.0,0.0,97.44
EURUSD,MR_RG,pre_session_bias,FLAT,113,32.74,-0.573,0.55,-0.83,-0.315,0.0,0.0,50.01
GBPUSD,VE_BO,trend_transition,TREND_TO_RANGE,98,22.45,-0.585,0.44,-0.842,-0.317,0.0,0.0,44.49
USDJPY,MR_RG,volatility_transition,STEADY_VOL,40,22.5,-0.596,0.33,-0.97,-0.181,0.4,0.0,20.63
EURUSD,MR_RG,asian_range_category,TIGHT (<25p),111,30.63,-0.614,0.48,-0.862,-0.357,0.0,0.0,51.06
EURUSD,VE_BO,pre_session_bias,FLAT,389,20.82,-0.624,0.37,-0.747,-0.491,0.0,0.0,91.43
GBPUSD,MR_RG,trend_transition,STEADY_TREND,84,28.57,-0.666,0.34,-0.939,-0.376,0.0,0.0,45.4
USDJPY,MR_RG,trend_transition,STEADY_TREND,73,20.55,-0.674,0.36,-0.954,-0.365,0.0,0.0,39.91
EURUSD,MR_RG,trend_transition,STEADY_TREND,108,27.78,-0.676,0.38,-0.91,-0.422,0.0,0.0,52.88
EURUSD,MR_RG,asian_range_category,NORMAL (25-45p),33,21.21,-0.749,0.44,-1.155,-0.285,0.1,0.0,23.85
GBPUSD,VE_BO,pre_session_bias,FLAT,295,18.31,-0.762,0.29,-0.895,-0.622,0.0,0.0,89.94
EURUSD,MR_RG,volatility_transition,LOW_TO_LOW_VOL,109,26.61,-0.767,0.34,-1.014,-0.519,0.0,0.0,58.57
GBPUSD,VE_BO,volatility_transition,LOW_TO_HIGH_VOL,29,10.34,-0.884,0.19,-1.214,-0.457,0.0,0.0,21.91
GBPUSD,MR_RG,pre_session_bias,BEARISH_DRIFT,27,14.81,-0.915,0.27,-1.276,-0.468,0.0,0.0,21.33
GBPUSD,MR_RG,pre_session_bias,BULLISH_DRIFT,30,13.33,-1.024,0.22,-1.347,-0.615,0.0,0.0,26.72
