trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata
60,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-05-27 15:30:00+00:00,2024-05-27 15:45:00+00:00,1.2752700000000001,2024-05-27 16:00:00+00:00,1.2757839285714285,TP,1.2744760714285714,1.2758839285714285,2,7.0392857142856755,7.139285714283794,1.2,0.8,0.7,4.439285714284014,0.6306443428832827,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 9.526113131934249}"
61,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-06-03 05:15:00+00:00,2024-06-03 05:30:00+00:00,1.27478,2024-06-03 06:30:00+00:00,1.2740075,SL,1.2741075,1.2752325,5,5.624999999999737,-5.725000000000868,1.2,0.8,0.7,-8.425000000000647,-1.4977777775116912,STRONG_BULL__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 31.21389037191149}"
62,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-06-17 03:00:00+00:00,2024-06-17 03:15:00+00:00,1.26814,2024-06-17 09:00:00+00:00,1.2676457142857143,TP,1.2689342857142858,1.2675457142857143,24,6.942857142856949,6.942857142857584,1.2,0.8,0.7,4.242857142857804,0.6111111110232031,STRONG_BEAR__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 14.815428424843292}"
63,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-06-17 10:30:00+00:00,2024-06-17 10:45:00+00:00,1.26631,2024-06-17 11:00:00+00:00,1.267425,SL,1.267325,1.265495,2,9.150000000000228,-9.149999999999991,1.2,0.8,0.7,-11.84999999999977,-1.2950819670715183,STRONG_BEAR__NORMAL_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 22.23031132238057}"
64,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-06-21 03:00:00+00:00,2024-06-21 03:15:00+00:00,1.26565,2024-06-21 05:30:00+00:00,1.26636,SL,1.26626,1.26524,10,5.1000000000001044,-5.1000000000001044,1.2,0.8,0.7,-7.799999999999884,-1.5294117644059437,STRONG_BEAR__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 26.91011243631234}"
65,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-06-21 09:30:00+00:00,2024-06-21 09:45:00+00:00,1.26591,2024-06-21 09:45:00+00:00,1.265675,TP,1.266445,1.2655750000000001,1,4.350000000000187,4.349999999999632,1.2,0.8,0.7,1.6499999999998523,0.37931034474033815,WEAK_BEAR__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 17.952095348557382}"
66,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-07-08 14:00:00+00:00,2024-07-08 14:15:00+00:00,1.28219,2024-07-08 14:45:00+00:00,1.2829207142857144,TP,1.2811392857142858,1.2830207142857144,3,9.407142857143343,9.307142857144513,1.2,0.8,0.7,6.607142857144733,0.7023538343977868,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,"{'transition_quality': 'STRONG', 'adx_delta': 14.551066455221292}"
67,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-07-10 09:00:00+00:00,2024-07-10 09:15:00+00:00,1.27885,2024-07-10 09:15:00+00:00,1.2794392857142858,SL,1.2793392857142858,1.2785807142857144,1,3.792857142857725,-3.8928571428575864,1.2,0.8,0.7,-6.592857142857366,-1.7382297547204095,WEAK_BEAR__LOW_VOL,LONDON,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 9.73221987826309}"
68,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-07-25 17:00:00+00:00,2024-07-25 17:15:00+00:00,1.28735,2024-07-25 17:15:00+00:00,1.2888217857142856,SL,1.2887217857142856,1.2861782142857143,1,12.717857142856955,-12.717857142856559,1.2,0.8,0.7,-15.417857142856338,-1.2122999156586336,STRONG_BEAR__NORMAL_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 26.776810352045228}"
69,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-08-07 00:30:00+00:00,2024-08-07 00:45:00+00:00,1.26893,2024-08-07 05:00:00+00:00,1.2705021428571428,SL,1.2704021428571428,1.2676978571428572,18,13.521428571428176,-13.721428571429328,1.2,0.8,0.7,-16.421428571429107,-1.2144743792023855,STRONG_BEAR__LOW_VOL,ASIAN,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 8.811009480915192}"
