timestamp,symbol,direction,is_approved,risk_requested_pct,risk_allowed_pct,rejection_reason,current_balance,current_equity,daily_loss_budget_usd,max_dd_budget_usd,distance_to_target_usd,correlated_usd_exposure_pct
2025-02-05 09:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,103468.7,103468.7,5173.43,12968.7,4531.3,0.35
2025-02-18 11:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,104083.47,104083.47,5204.17,13583.47,3916.53,0.35
2025-03-04 09:00:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,103666.06,103666.06,5183.3,13166.06,4333.94,0.35
2025-03-13 09:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,104297.32,104297.32,5214.87,13797.32,3702.68,0.35
2025-03-17 08:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,104967.38,104967.38,5248.37,14467.38,3032.62,0.35
2025-04-08 07:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,104557.21,104557.21,5227.86,14057.21,3442.79,0.35
2025-04-15 15:00:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,104148.39,104148.39,5207.42,13648.39,3851.61,0.35
2025-04-18 09:15:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,103712.82,103712.82,5185.64,13212.82,4287.18,0.35
2025-04-18 10:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,103697.76,103697.76,5170.58,13197.76,4302.24,0.35
2025-05-12 09:45:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,104350.97,104350.97,5217.55,13850.97,3649.03,0.35
2025-05-19 08:30:00+00:00,USDJPY,-1,True,0.35,0.35,APPROVED,105020.84,105020.84,5251.04,14520.84,2979.16,0.35
2025-06-17 15:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,105686.2,105686.2,5284.31,15186.2,2313.8,0.35
2025-06-23 11:15:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,106387.27,106387.27,5319.36,15887.27,1612.73,0.35
2025-07-01 10:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,107078.71,107078.71,5353.94,16578.71,921.29,0.35
2025-07-15 15:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,107721.18,107721.18,5386.06,17221.18,278.82,0.35
2025-07-28 10:30:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,107273.52,107273.52,5363.68,16773.52,726.48,0.35
