Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
USDJPY,2025-02-03 06:15:00+00:00,1,5.55,0.237,34.85,1.489,0,8,,,,-1.09,-25.51,2025
USDJPY,2025-02-04 04:15:00+00:00,1,16.65,0.776,33.35,1.555,11,11,5.0,11.0,,-1.107,-23.75,2025
USDJPY,2025-02-14 09:45:00+00:00,-1,9.05,0.455,21.35,1.074,2,4,,,,-1.111,-22.09,2025
USDJPY,2025-02-19 10:45:00+00:00,-1,15.35,0.879,24.95,1.429,3,11,3.0,3.0,,-1.126,-19.66,2025
USDJPY,2025-02-26 01:15:00+00:00,-1,18.65,1.597,2.35,0.201,1,0,0.0,0.0,1.0,0.812,9.48,2025
USDJPY,2025-03-17 08:45:00+00:00,1,9.75,0.494,21.25,1.076,1,5,,,,-1.116,-22.05,2025
USDJPY,2025-04-08 07:45:00+00:00,1,17.15,0.717,37.25,1.558,3,7,0.0,,,-1.117,-26.7,2025
USDJPY,2025-04-09 17:15:00+00:00,-1,18.55,0.342,56.95,1.051,2,11,,,,-1.046,-56.68,2025
USDJPY,2025-04-18 09:30:00+00:00,-1,0.55,0.079,8.35,1.195,2,5,,,,-1.422,-9.94,2025
USDJPY,2025-05-15 22:15:00+00:00,-1,22.15,1.354,4.45,0.272,14,7,1.0,13.0,14.0,0.835,13.66,2025
USDJPY,2025-05-19 09:00:00+00:00,-1,17.25,1.074,5.75,0.358,2,0,1.0,2.0,2.0,0.832,13.36,2025
USDJPY,2025-06-05 21:30:00+00:00,1,10.35,0.466,41.15,1.853,6,10,,,,-1.167,-25.91,2025
USDJPY,2025-06-10 06:45:00+00:00,1,7.95,0.312,27.35,1.072,2,6,,,,-1.102,-28.11,2025
USDJPY,2025-06-12 15:00:00+00:00,-1,42.65,1.977,13.25,0.614,2,0,2.0,2.0,2.0,0.879,18.97,2025
USDJPY,2025-06-12 23:15:00+00:00,-1,12.65,0.969,1.75,0.134,7,0,2.0,2.0,,0.766,10.01,2025
USDJPY,2025-06-17 15:45:00+00:00,1,38.15,1.902,14.85,0.74,7,2,4.0,6.0,7.0,0.895,17.96,2025
USDJPY,2025-06-24 19:15:00+00:00,-1,30.75,1.205,4.15,0.163,4,0,2.0,2.0,4.0,0.91,23.22,2025
USDJPY,2025-07-15 11:00:00+00:00,1,2.35,0.228,13.35,1.297,0,4,,,,-1.253,-12.9,2025
USDJPY,2025-07-15 15:45:00+00:00,1,5.55,0.385,27.85,1.933,0,0,,,,-1.187,-17.11,2025
USDJPY,2025-07-21 10:45:00+00:00,-1,38.45,2.008,9.15,0.478,3,0,2.0,2.0,3.0,0.859,16.45,2025
USDJPY,2025-08-06 09:00:00+00:00,-1,8.35,0.672,20.25,1.629,0,4,0.0,,,-1.145,-14.23,2025
USDJPY,2025-08-27 15:30:00+00:00,1,1.65,0.118,15.35,1.096,0,2,,,,-1.186,-16.6,2025
USDJPY,2025-08-28 15:45:00+00:00,-1,2.45,0.156,24.65,1.57,0,0,,,,-1.185,-18.6,2025
USDJPY,2025-09-15 22:15:00+00:00,-1,0.0,0.0,10.45,1.228,0,2,,,,-1.27,-10.81,2025
USDJPY,2025-09-26 09:00:00+00:00,1,7.45,0.968,2.95,0.383,3,0,1.0,2.0,,0.649,4.99,2025
USDJPY,2025-10-10 01:30:00+00:00,1,20.15,1.844,4.15,0.38,2,1,2.0,2.0,2.0,0.799,8.73,2025
USDJPY,2025-10-10 03:15:00+00:00,1,1.05,0.068,20.65,1.328,0,2,,,,-1.084,-16.85,2025
USDJPY,2025-10-14 05:15:00+00:00,1,1.95,0.139,16.75,1.195,1,3,,,,-1.15,-16.11,2025
USDJPY,2025-10-15 03:00:00+00:00,-1,15.35,1.193,13.45,1.045,2,1,0.0,2.0,2.0,0.837,10.77,2025
USDJPY,2025-10-24 02:00:00+00:00,1,8.15,1.117,2.45,0.336,2,0,0.0,2.0,2.0,0.753,5.5,2025
USDJPY,2025-10-24 14:45:00+00:00,1,2.15,0.216,12.05,1.211,0,1,,,,-1.211,-12.05,2025
USDJPY,2025-11-10 07:00:00+00:00,1,14.45,1.433,2.05,0.203,0,0,0.0,0.0,0.0,0.772,7.78,2025
USDJPY,2025-11-11 00:15:00+00:00,1,12.6,1.326,2.3,0.242,7,0,6.0,6.0,7.0,0.753,7.15,2025
USDJPY,2025-11-11 06:15:00+00:00,1,2.05,0.161,16.55,1.299,1,4,,,,-1.165,-14.84,2025
USDJPY,2025-11-18 03:15:00+00:00,1,4.45,0.409,16.85,1.548,0,1,,,,-1.211,-13.19,2025
USDJPY,2025-12-03 09:45:00+00:00,-1,0.0,0.0,11.75,1.154,0,2,,,,-1.206,-12.28,2025
USDJPY,2025-12-03 15:45:00+00:00,-1,0.0,0.0,13.85,1.101,0,0,,,,-1.207,-15.18,2025
USDJPY,2025-12-09 01:15:00+00:00,1,0.85,0.108,12.75,1.619,0,2,,,,-1.279,-10.07,2025
USDJPY,2025-12-17 01:00:00+00:00,-1,2.75,0.252,15.45,1.414,0,4,,,,-1.174,-12.83,2025
USDJPY,2025-12-31 18:30:00+00:00,1,12.95,0.848,16.05,1.051,9,17,6.0,8.0,,-1.144,-17.47,2025
USDJPY,2026-01-08 00:15:00+00:00,1,0.0,0.0,7.8,1.471,0,0,,,,-1.792,-9.5,2026
USDJPY,2026-01-08 00:45:00+00:00,1,0.45,0.075,5.85,0.972,0,0,,,,-1.183,-7.12,2026
USDJPY,2026-01-13 17:15:00+00:00,1,18.35,1.046,13.25,0.755,4,2,3.0,3.0,4.0,0.869,15.24,2026
USDJPY,2026-01-20 07:15:00+00:00,-1,0.0,0.0,17.15,1.112,0,2,,,,-1.13,-17.42,2026
USDJPY,2026-01-26 13:45:00+00:00,-1,0.75,0.02,39.95,1.05,0,3,,,,-1.084,-41.26,2026
USDJPY,2026-02-03 21:45:00+00:00,1,16.45,1.169,8.45,0.601,17,9,14.0,17.0,17.0,0.858,12.07,2026
USDJPY,2026-02-19 02:45:00+00:00,1,2.95,0.277,14.85,1.393,0,0,,,,-1.197,-12.76,2026
USDJPY,2026-03-03 23:15:00+00:00,1,5.65,0.282,28.25,1.408,2,3,,,,-1.157,-23.21,2026
USDJPY,2026-03-10 06:45:00+00:00,-1,15.05,0.972,5.05,0.326,2,0,1.0,1.0,,0.858,13.28,2026
USDJPY,2026-03-23 07:15:00+00:00,1,14.75,0.975,0.75,0.05,2,0,0.0,2.0,,0.855,12.93,2026
USDJPY,2026-04-13 12:00:00+00:00,1,13.15,1.334,7.05,0.715,11,8,10.0,11.0,11.0,0.777,7.66,2026
USDJPY,2026-04-24 11:30:00+00:00,1,2.75,0.267,25.25,2.455,6,10,,,,-1.224,-12.59,2026
USDJPY,2026-04-27 14:30:00+00:00,-1,2.25,0.234,12.05,1.252,3,6,,,,-1.229,-11.82,2026
USDJPY,2026-04-30 04:45:00+00:00,1,11.45,1.02,7.55,0.672,4,0,3.0,3.0,4.0,0.804,9.03,2026
USDJPY,2026-05-13 20:00:00+00:00,1,6.05,0.645,23.55,2.509,4,17,3.0,,,-1.272,-11.94,2026
USDJPY,2026-05-18 00:45:00+00:00,1,8.55,0.846,11.95,1.183,5,0,1.0,5.0,,0.634,6.4,2026
USDJPY,2026-05-22 17:15:00+00:00,1,0.15,0.019,9.05,1.141,0,3,,,,-1.277,-10.13,2026
USDJPY,2026-05-22 18:15:00+00:00,1,11.05,1.221,2.45,0.271,2,0,1.0,1.0,2.0,0.768,6.95,2026
USDJPY,2026-05-29 19:30:00+00:00,-1,4.45,0.489,14.35,1.578,0,18,,,,-1.258,-11.45,2026
USDJPY,2026-06-03 06:30:00+00:00,1,5.55,0.994,3.75,0.672,10,3,10.0,10.0,,0.606,3.38,2026
USDJPY,2026-06-05 17:00:00+00:00,1,17.45,1.007,9.05,0.522,9,0,2.0,4.0,9.0,0.873,15.14,2026
USDJPY,2026-06-05 23:45:00+00:00,1,9.45,1.159,2.65,0.325,0,0,0.0,0.0,0.0,0.73,5.95,2026
USDJPY,2026-06-17 00:45:00+00:00,1,3.05,0.501,8.55,1.405,0,11,0.0,,,-1.362,-8.29,2026
USDJPY,2026-06-24 02:00:00+00:00,1,6.65,0.907,3.55,0.484,7,0,3.0,7.0,,0.7,5.13,2026
USDJPY,2026-06-25 02:30:00+00:00,1,0.0,0.0,6.25,1.238,0,2,,,,-1.436,-7.25,2026
USDJPY,2026-06-26 16:45:00+00:00,-1,4.25,0.672,11.85,1.875,2,4,2.0,,,-1.348,-8.52,2026
USDJPY,2026-07-15 14:15:00+00:00,1,4.05,0.469,11.95,1.384,1,5,,,,-1.255,-10.84,2026
USDJPY,2026-07-16 04:30:00+00:00,-1,0.75,0.094,12.75,1.602,0,2,,,,-1.276,-10.16,2026
USDJPY,2026-07-20 17:00:00+00:00,1,8.15,1.122,1.85,0.255,0,0,0.0,0.0,0.0,0.697,5.06,2026
USDJPY,2026-08-03 16:15:00+00:00,-1,38.35,1.502,1.15,0.045,0,0,0.0,0.0,0.0,0.914,23.33,2026
USDJPY,2026-08-11 23:00:00+00:00,1,7.25,1.27,1.85,0.324,2,0,2.0,2.0,2.0,0.615,3.51,2026
USDJPY,2026-08-21 00:15:00+00:00,1,1.45,0.176,12.25,1.483,1,4,,,,-1.266,-10.46,2026
USDJPY,2026-08-24 02:00:00+00:00,1,3.25,0.245,15.95,1.202,2,4,,,,-1.166,-15.46,2026
USDJPY,2026-08-27 15:45:00+00:00,1,4.15,0.478,12.85,1.479,2,5,,,,-1.253,-10.89,2026
