Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
GBPUSD,2025-10-28 02:15:00+00:00,1,4.7,0.874,1.2,0.223,0,0,0.0,0.0,,0.498,2.68,2025
GBPUSD,2025-11-10 19:30:00+00:00,1,18.0,1.257,1.7,0.119,2,0,0.0,1.0,2.0,0.805,11.52,2025
GBPUSD,2025-11-17 19:30:00+00:00,1,0.0,0.0,15.5,1.142,0,3,,,,-1.155,-15.67,2025
GBPUSD,2025-12-19 08:45:00+00:00,-1,0.0,0.0,14.8,2.04,0,0,,,,-1.4,-10.15,2025
GBPUSD,2025-12-30 00:30:00+00:00,1,1.5,0.15,11.3,1.133,6,10,,,,-1.271,-12.67,2025
GBPUSD,2026-01-09 10:15:00+00:00,-1,10.6,1.191,3.8,0.427,1,0,1.0,1.0,1.0,0.686,6.1,2026
GBPUSD,2026-01-13 06:15:00+00:00,1,4.3,0.509,10.1,1.195,0,8,0.0,,,-1.367,-11.55,2026
GBPUSD,2026-01-14 02:45:00+00:00,-1,5.0,0.872,2.8,0.488,1,0,1.0,1.0,,0.546,3.13,2026
GBPUSD,2026-01-21 14:00:00+00:00,-1,7.1,0.558,16.6,1.305,0,2,0.0,,,-1.212,-15.42,2026
GBPUSD,2026-01-29 10:00:00+00:00,1,13.3,1.079,3.6,0.292,0,0,0.0,0.0,0.0,0.789,9.72,2026
GBPUSD,2026-02-09 17:00:00+00:00,1,24.2,0.995,1.5,0.062,1,0,0.0,0.0,,0.893,21.71,2026
GBPUSD,2026-02-10 17:00:00+00:00,1,0.4,0.02,23.9,1.2,0,1,,,,-1.105,-22.02,2026
GBPUSD,2026-02-16 12:15:00+00:00,1,3.0,0.212,16.5,1.164,2,11,,,,-1.183,-16.77,2026
GBPUSD,2026-02-20 03:15:00+00:00,-1,12.6,1.549,3.3,0.406,1,0,0.0,1.0,1.0,0.656,5.33,2026
GBPUSD,2026-03-05 20:15:00+00:00,-1,11.3,0.466,29.4,1.214,0,7,,,,-1.111,-26.92,2026
GBPUSD,2026-03-12 15:45:00+00:00,-1,14.0,1.157,5.2,0.43,0,0,0.0,0.0,0.0,0.777,9.4,2026
GBPUSD,2026-03-17 23:15:00+00:00,1,5.5,0.681,4.7,0.582,11,2,3.0,,,0.393,3.18,2026
GBPUSD,2026-03-18 09:15:00+00:00,1,0.0,0.0,15.1,2.034,0,1,,,,-1.364,-10.13,2026
GBPUSD,2026-03-23 07:15:00+00:00,-1,16.8,1.38,1.1,0.09,1,0,0.0,0.0,1.0,0.778,9.47,2026
GBPUSD,2026-04-06 22:00:00+00:00,1,2.1,0.167,13.7,1.089,0,8,,,,-1.473,-18.53,2026
GBPUSD,2026-04-15 07:15:00+00:00,1,10.6,1.405,3.2,0.424,4,1,3.0,4.0,4.0,0.642,4.84,2026
GBPUSD,2026-04-22 04:15:00+00:00,-1,0.0,0.0,11.1,1.306,0,1,,,,-1.318,-11.2,2026
GBPUSD,2026-04-23 01:00:00+00:00,-1,14.1,1.867,4.4,0.583,8,0,8.0,8.0,8.0,0.643,4.85,2026
GBPUSD,2026-04-23 21:45:00+00:00,-1,17.4,0.951,1.1,0.06,6,0,1.0,3.0,,0.858,15.7,2026
GBPUSD,2026-05-13 00:30:00+00:00,-1,0.0,0.0,14.15,1.55,0,2,,,,-1.728,-15.78,2026
GBPUSD,2026-05-14 15:30:00+00:00,-1,13.0,0.944,2.9,0.211,3,0,2.0,3.0,,0.804,11.07,2026
GBPUSD,2026-05-22 18:00:00+00:00,1,18.4,1.089,5.9,0.349,10,0,2.0,8.0,10.0,0.84,14.2,2026
GBPUSD,2026-05-27 05:30:00+00:00,-1,0.0,0.0,10.5,1.929,0,2,,,,-1.496,-8.14,2026
GBPUSD,2026-05-29 09:00:00+00:00,1,4.4,0.815,2.8,0.519,0,0,0.0,0.0,,0.5,2.7,2026
GBPUSD,2026-06-10 08:30:00+00:00,1,7.9,1.058,1.2,0.161,0,0,0.0,0.0,0.0,0.638,4.77,2026
GBPUSD,2026-06-12 06:15:00+00:00,1,9.3,1.129,1.3,0.158,1,0,0.0,1.0,1.0,0.672,5.54,2026
GBPUSD,2026-06-26 11:15:00+00:00,1,11.6,0.955,7.3,0.601,2,0,2.0,2.0,,0.778,9.45,2026
GBPUSD,2026-07-20 00:45:00+00:00,-1,8.0,0.89,4.0,0.445,1,0,1.0,1.0,,0.7,6.29,2026
GBPUSD,2026-07-22 22:15:00+00:00,-1,2.9,0.411,8.8,1.246,7,7,,,,-1.382,-9.76,2026
GBPUSD,2026-07-28 15:30:00+00:00,-1,0.6,0.059,15.2,1.487,0,1,,,,-1.264,-12.92,2026
GBPUSD,2026-08-06 02:00:00+00:00,1,4.5,0.638,9.1,1.291,12,18,12.0,,,-1.383,-9.75,2026
GBPUSD,2026-08-07 05:15:00+00:00,-1,1.2,0.278,6.5,1.505,4,16,,,,-1.625,-7.02,2026
GBPUSD,2026-08-21 15:00:00+00:00,1,1.6,0.109,23.3,1.587,0,2,,,,-1.184,-17.38,2026
GBPUSD,2026-08-28 14:45:00+00:00,-1,5.7,0.887,2.7,0.42,2,0,2.0,2.0,,0.58,3.73,2026
USDJPY,2023-01-17 17:45:00+00:00,-1,45.65,1.3,5.35,0.152,1,0,0.0,0.0,1.0,0.949,33.32,2023
USDJPY,2023-01-20 01:15:00+00:00,-1,1.75,0.167,21.85,2.083,0,3,,,,-1.181,-12.39,2023
USDJPY,2023-01-26 00:00:00+00:00,-1,20.45,1.835,6.45,0.579,4,0,3.0,4.0,4.0,0.551,6.14,2023
USDJPY,2023-01-30 01:30:00+00:00,-1,5.35,0.492,32.45,2.987,0,2,,,,-1.156,-12.56,2023
USDJPY,2023-01-31 15:00:00+00:00,1,0.45,0.031,51.35,3.55,0,2,,,,-1.152,-16.66,2023
USDJPY,2023-02-02 04:00:00+00:00,-1,20.25,0.718,53.35,1.89,13,27,4.0,,,-1.074,-30.32,2023
USDJPY,2023-02-16 17:45:00+00:00,1,7.65,0.303,26.25,1.041,0,3,,,,-1.087,-27.41,2023
USDJPY,2023-02-21 17:45:00+00:00,1,18.65,0.82,17.65,0.776,11,0,10.0,11.0,,0.572,13.0,2023
USDJPY,2023-02-23 15:30:00+00:00,1,34.05,2.892,6.05,0.514,0,0,0.0,0.0,0.0,0.873,10.28,2023
USDJPY,2023-02-27 08:45:00+00:00,1,1.35,0.085,17.45,1.097,0,1,,,,-1.151,-18.31,2023
USDJPY,2023-03-13 07:15:00+00:00,-1,1.75,0.048,39.65,1.088,0,2,,,,-1.06,-38.65,2023
USDJPY,2023-03-16 09:00:00+00:00,-1,2.05,0.088,37.75,1.628,0,0,,,,-1.112,-25.79,2023
USDJPY,2023-04-04 16:00:00+00:00,1,4.25,0.21,33.85,1.676,0,2,,,,-1.114,-22.5,2023
USDJPY,2023-04-05 04:15:00+00:00,-1,5.05,0.283,20.45,1.146,0,1,,,,-1.123,-20.04,2023
USDJPY,2023-04-13 12:15:00+00:00,-1,9.75,0.663,17.85,1.213,1,5,1.0,,,-1.15,-16.91,2023
USDJPY,2023-04-17 04:00:00+00:00,1,22.45,1.705,1.55,0.118,0,0,0.0,0.0,0.0,0.825,10.87,2023
USDJPY,2023-04-20 05:15:00+00:00,1,0.05,0.003,17.15,1.184,0,4,,,,-1.131,-16.39,2023
USDJPY,2023-04-25 19:15:00+00:00,-1,28.35,1.47,9.95,0.516,4,1,3.0,3.0,4.0,0.896,17.29,2023
USDJPY,2023-05-09 17:30:00+00:00,1,15.95,1.007,13.75,0.868,8,1,4.0,8.0,8.0,0.861,13.65,2023
USDJPY,2023-05-15 16:45:00+00:00,1,4.45,0.221,14.35,0.712,2,23,,,,-0.417,-8.4,2023
USDJPY,2023-05-19 02:00:00+00:00,1,0.35,0.052,13.75,2.031,0,0,,,,-1.34,-9.07,2023
USDJPY,2023-05-30 17:15:00+00:00,-1,28.65,1.095,12.25,0.468,1,0,1.0,1.0,1.0,0.904,23.65,2023
USDJPY,2023-06-05 12:00:00+00:00,1,11.75,0.778,17.85,1.182,6,16,1.0,6.0,,-1.146,-17.31,2023
USDJPY,2023-06-13 10:45:00+00:00,1,6.85,0.516,34.55,2.601,15,18,14.0,,,-1.158,-15.39,2023
USDJPY,2023-06-27 10:15:00+00:00,1,19.95,1.747,7.15,0.626,3,2,3.0,3.0,3.0,0.816,9.32,2023
USDJPY,2023-06-28 11:15:00+00:00,1,14.45,1.089,0.75,0.056,0,0,0.0,0.0,0.0,0.819,10.88,2023
USDJPY,2023-06-28 16:45:00+00:00,1,8.85,0.529,28.45,1.701,0,0,0.0,,,-1.126,-18.82,2023
USDJPY,2023-06-28 17:00:00+00:00,1,20.85,1.054,7.45,0.376,3,0,0.0,0.0,3.0,0.889,17.59,2023
USDJPY,2023-07-13 09:45:00+00:00,-1,17.65,0.989,2.25,0.126,0,0,0.0,0.0,,0.877,15.65,2023
USDJPY,2023-07-14 02:00:00+00:00,-1,12.75,1.371,0.95,0.102,0,0,0.0,0.0,0.0,0.763,7.1,2023
USDJPY,2023-07-26 00:30:00+00:00,-1,0.0,0.0,13.55,1.149,0,0,,,,-1.365,-16.1,2023
USDJPY,2023-07-31 21:15:00+00:00,1,16.95,1.101,3.45,0.224,19,0,2.0,2.0,19.0,0.857,13.2,2023
USDJPY,2023-08-03 06:45:00+00:00,1,41.75,2.519,7.35,0.443,1,0,1.0,1.0,1.0,0.867,14.38,2023
USDJPY,2023-08-15 12:00:00+00:00,1,5.95,0.362,19.55,1.191,1,10,,,,-1.146,-18.81,2023
USDJPY,2023-08-15 23:15:00+00:00,1,1.05,0.124,9.35,1.103,2,3,,,,-1.26,-10.68,2023
