Pair,Strategy,Factor,Bucket,Trades,WinRate%,Exp(R),PF,Stable_Years%,Valid_Sample,Yearly_Exp_R
GBPUSD,TF_PB,direction_label,LONG,371,34.5,-0.26,0.71,0.0,True,"{np.int64(2023): -0.205, np.int64(2024): -0.11, np.int64(2025): -0.314, np.int64(2026): -0.507}"
GBPUSD,TF_PB,direction_label,SHORT,328,34.76,-0.264,0.84,0.0,True,"{np.int64(2023): -0.263, np.int64(2024): -0.269, np.int64(2025): -0.439, np.int64(2026): -0.01}"
GBPUSD,VE_BO,atr_bucket,80-100% (Highest),48,37.5,-0.007,1.0,50.0,True,"{np.int64(2023): 0.669, np.int64(2024): -0.545, np.int64(2025): -0.381, np.int64(2026): 0.406}"
GBPUSD,VE_BO,atr_bucket,20-40% (Low),290,32.76,-0.276,0.71,25.0,True,"{np.int64(2023): -0.343, np.int64(2024): -0.444, np.int64(2025): 0.008, np.int64(2026): -0.284}"
GBPUSD,VE_BO,atr_bucket,60-80% (High),88,29.55,-0.304,0.71,25.0,True,"{np.int64(2023): -0.397, np.int64(2024): -0.832, np.int64(2025): 0.073, np.int64(2026): -0.031}"
GBPUSD,VE_BO,atr_bucket,40-60% (Mid),216,28.24,-0.38,0.59,0.0,True,"{np.int64(2023): -0.189, np.int64(2024): -0.57, np.int64(2025): -0.43, np.int64(2026): -0.335}"
GBPUSD,VE_BO,atr_bucket,0-20% (Lowest),75,26.67,-0.535,0.5,25.0,True,"{np.int64(2023): -0.331, np.int64(2024): -0.811, np.int64(2025): -0.799, np.int64(2026): 0.001}"
GBPUSD,VE_BO,adx_bucket,High (>28),256,32.42,-0.27,0.68,0.0,True,"{np.int64(2023): -0.236, np.int64(2024): -0.455, np.int64(2025): -0.038, np.int64(2026): -0.477}"
GBPUSD,VE_BO,adx_bucket,Medium (18-28),282,30.14,-0.322,0.71,0.0,True,"{np.int64(2023): -0.125, np.int64(2024): -0.638, np.int64(2025): -0.477, np.int64(2026): -0.019}"
GBPUSD,VE_BO,adx_bucket,Low (<18),179,29.05,-0.388,0.63,0.0,True,"{np.int64(2023): -0.448, np.int64(2024): -0.623, np.int64(2025): -0.111, np.int64(2026): -0.211}"
GBPUSD,VE_BO,trend_regime,STRONG_BULL,81,38.27,-0.058,0.89,50.0,True,"{np.int64(2023): 0.229, np.int64(2024): -0.314, np.int64(2025): -0.111, np.int64(2026): 0.003}"
GBPUSD,VE_BO,trend_regime,WEAK_BULL,68,35.29,-0.21,0.86,25.0,True,"{np.int64(2023): -0.304, np.int64(2024): -0.357, np.int64(2025): -0.301, np.int64(2026): 0.339}"
GBPUSD,VE_BO,trend_regime,CHOPPY,427,29.51,-0.362,0.65,0.0,True,"{np.int64(2023): -0.254, np.int64(2024): -0.653, np.int64(2025): -0.295, np.int64(2026): -0.169}"
GBPUSD,VE_BO,trend_regime,STRONG_BEAR,84,28.57,-0.365,0.63,0.0,True,"{np.int64(2023): -0.205, np.int64(2024): -0.765, np.int64(2025): -0.108, np.int64(2026): -0.658}"
GBPUSD,VE_BO,trend_regime,WEAK_BEAR,57,26.32,-0.445,0.49,25.0,True,"{np.int64(2023): -0.798, np.int64(2024): -0.548, np.int64(2025): 0.127, np.int64(2026): -0.515}"
